Date,HRC_Price_CRU,join_key,Aluminum_(per_pound)  rolling 7,Oil_Spot__/barrel  rolling 7,Iron_Ore__/metricton  rolling 7,Nickel__pound  rolling 7,Baltic_Dry_Index  rolling 7,Zinc__pound  rolling 7,Natural_Gas__BTU  rolling 7,Platts_Coking_Coal_DMT  rolling 7,Aluminum_Inventory  rolling 7,Nickel_Inventory  rolling 7,Zinc_Inventory  rolling 7,WSJ_Dollar_Index  rolling 7,Copper__mt  rolling 7,Lumber_cost,Diesel_energy_cost,Oil_Inv_cost,Cap_Util_%_domestic_prod,Tons_Produced_domestic,Kead_time_HR,Lead_time_CR,Domestic_HDG_Lead_Times_ALL_(Weeks),Integrated_domestic_hdg_lead_time_(weeks),Mini_domestic_hdg_lead_times_(wk),Convertor_Domestic_HDG_Lead_Times,Coaters_domestic_HDG_Lead_times,HDG_price_CRU,Weekly__jobless_claims_new,Continuing_jobless_claims,WEI_NY_Fed,China_HR,USA_HR,Turkey_HR,Brazil_HR,India_HR,Russia_HR,Japan_HR,Index_chem_activity,Diffusion_Indx_chem_act,CFNAI,Total_Miles_Driven,Leading__EI,Coincident_EI,Lagging_EI,Linehaul_TD,Shipments_TD,Expenditures_TD,Intermodal_TD,TSI_TD,US_Rig_Counts,CDN_rig_counts,World_rig_counts,NACM___CMI_credit,UofM_consumer_confidence,NFIB_confidence,Unemployment_Rate,#_Unemployeed,Weekly_Hours_employ,AVG__/HR_employ,Total_saar,Private_saar,Goods_Producing_saar,Res_Cons_employed,NonRes_Cons_employed,Manufacturing_employed,Fab_Metal_MFG_employed,Machinery_employed,Trucking_employed,Architects_employed,Wages_income,Disp_Income,PCE_income,Savings_income,Savings_%_income,Total_RS_SAAR,Gas_RS_SARR,Ex_gas_RS_SAAR,Total_RS_NA,Gas_NA,Ex_gas_NA,Total_ex_Trans_RS_NA,Grocery_RS_NA,Discretionary_RS_NA,All_items_CPI_NA,ex_food_&_energy_CPI_NA,GDP_Annual_Rate,USA GDP,China GDP,Prime_scrap_cost,Shredded_scrap_cost,Global_steel_production_000_mt_,USA_steel_production_000_mt,Canada_steel_product_000_mt,Mexico_steel_prod_000_mt,China_steel_prod_000_mt,Total_imports,HR_import,CR_import,HDG_import,Electro_import,Other_Coated_import,HR__Strip_imp,CR_Strip_imp,Flat_Rolled_imp,Semi_finished_imp,Pig_Iron_imp,DRI_imp,Scrap_imp,Total_exp,HR_exp,CR_exp,HDG_exp,Electro_exp,Other_Coated_exp,HR__Strip_exp,CR_Strip_exp,Flat_Rolled_exp,Scrap_exp,Flat_Rolled_MSCI_Inv,HR_MSCI_Inv,CR_MSCI_Inv,Coated_MSCI_Inv,Flat_Rolled_MSCI_order,HR_MSCI_Order,CR_MSCI_Order,Coated_MSCI_Order,Total_Mill_ship,HR_mill_ship,CR_mill_ship,HDG_mill_ship,Electro_mill_ship,Other_Coated_mill_ship,HR__Strip_mill_ship,CR_Strip_mill_ship,Flat_Rolled_mill_ship,Flat_Rolled_MSCI_ship,HR_MSCI_Ship,CR_MSCI_Ship,Coated_msci_ship,Flat_Rolled_MSCI_ship_day,HR_msci_ship_day,CR_msci_ship_day,Coated_msci_ship_day,RV_Shipments,Total_light_vehicle,Car_sales,Truck_sales,Import_sales,Total_invenry_auto,Car_auto_inv,Truck_inv,Import_inv,Days_light_vehicle_invent,Total_vehicle_prod,Car_LV_prod,Truck_LV_prod,Sales_heavy_v,Prod_heavy_v,Inv_heavy_v,Tractors_ship,Combines_ship,Total_ship_agr,Farm_Equip_ship_NA,Water_Heater_ship,Furnace_ship,A/C_&_Heat_Pump_ship,Total_ship_HVAC,Shipment_durable_goods,New_Order_durable,ABI_leading,Dodge_Index_leading,HMI_leading,30_YR_MTG_leading,Res_vos_dodge,Non_Res_vos_dodge,Non_Bldg_vos_dode,Total_dodge,Res_construction__,Non_Res_construc__,NR_Private_const__,Total_const_Spend,Permits_(NA)_Const,Permits_(SAAR)_Const,Starts_(NA)_Cons,Starts_(SAAR)_const,Single_unit_(SAAR)_const,Complete_(NA)_const,Complete_(SAAR)_const,NA_NHS,SAAR_NHS,Median__NHS,Inventory_NHS,NA_EHS,SAAR_EHS,Median__EHS,Inventory_EHS,Total_New_Orders_Air,ND_Air_New_Orders,Def_Air_New_Orders,Total_Air_New_Orders,Total_ship_air,ND_Air_ship,Def_Air_ship,Total_Air_ship,Total_unfilled,ND_Air_unfilled,Def_Air_unfilled,Total_Air_unfilled,Total_inventory_air,ND_Air_inv,Def_Air_inv,Total_Air_inv,Total_index_ind_prod,Durabled_Goods_index_ind_prod,Total_util_indus_prod,Durabled_Goods_utilization_ind_prod,ISM__pmi_manu,Chicago_pmi_manu,Empire_man,Dallas_man,Philly_man
2009-12-06,501.0,1,,76.9057142857143,,,4054.8571428571427,1.0457142857142856,,,,,456425.0,,,nan,2.77,318037.0,0.65,1540.0,5.1,6.3,6.9,nan,nan,nan,nan,616.0,497.0,5289.0, 1.04 ,,,,,,,,96.4,0.88, (0.33),241.9,78.6,87.2,82.8,101.6,0.92,1.53,111.8,101.6,1172.0,313.0,2509.0,52.1,72.5,88.0,0.1,15212.0,33.8,22.38,129588.0,107107.0,17906.0,600500.0,682000.0,11580.0,1277.0,982.0,1235.0,1292.0,6278.0,10803.0,10011.0,437.0,0.04,353255.0,35219.0,318036.0,408576.0,33599.0,374977.0,351276.0,45738.0,271939.0,215.9,220.0,3.90%,3.90%,nan,345.0,290.0,106969.0,5862.0,1070.0,1287.0,47664.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2100411.0,3546.8,nan,nan,nan,2816.2,nan,nan,nan, 5725096.00 ,1394352.0,682115.0,854796.0,118703.0,72236.0,2217.0,27225.0,3151644.0,1352.7,nan,nan,nan,61.5,nan,nan,nan,nan,1026246.0,358793.0,431687.0,235766.0,1930185.0,686393.0,780192.0,463600.0,52.0,526810.0,204336.0,322474.0,23014.0,12383.0,49666.0,11962.0,971.0,12933.0,1386.0,693702.0,241499.0,342948.0,1278149.0,3112.0,2977.0,43.4,90.0,16.0,0.05,132139.0,143877.0,149518.0,425534.0,264592.0,578017.0,286479.0,842609.0,49200.0,681000.0,36600.0,576000.0,486000.0,72400.0,752000.0,24000.0,352000.0,222600.0,232000.0,347000.0,4530000.0,170700.0,2740000.0,174122.0, 6259.00 ,7575.0,160288.0,182440.0,11140.0,6466.0,164834.0,824651.0,348745.0,62073.0,413833.0,287925.0,34822.0,12322.0,240781.0,89.6,84.5,0.72,0.66,54.9,58.7, 5.20 , 3.40 , 16.50 
2009-12-13,513.0,1,,73.75571428571429,,,3871.1428571428573,1.0500000000000003,,,,,458200.0,,,nan,2.75,314348.0,0.63,1499.0,4.9,6.0,7.2,nan,nan,nan,nan,630.0,498.0,5191.0, 1.21 ,,,,,,,,96.4,0.88, (0.33),241.9,78.6,87.2,82.8,101.6,0.92,1.53,111.8,101.6,1172.0,313.0,2509.0,52.1,72.5,88.0,0.1,15212.0,33.8,22.38,129588.0,107107.0,17906.0,600500.0,682000.0,11580.0,1277.0,982.0,1235.0,1292.0,6278.0,10803.0,10011.0,437.0,0.04,353255.0,35219.0,318036.0,408576.0,33599.0,374977.0,351276.0,45738.0,271939.0,215.9,220.0,3.90%,3.90%,nan,345.0,290.0,106969.0,5862.0,1070.0,1287.0,47664.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2100411.0,3546.8,nan,nan,nan,2816.2,nan,nan,nan, 5725096.00 ,1394352.0,682115.0,854796.0,118703.0,72236.0,2217.0,27225.0,3151644.0,1352.7,nan,nan,nan,61.5,nan,nan,nan,nan,1026246.0,358793.0,431687.0,235766.0,1930185.0,686393.0,780192.0,463600.0,52.0,526810.0,204336.0,322474.0,23014.0,12383.0,49666.0,11962.0,971.0,12933.0,1386.0,693702.0,241499.0,342948.0,1278149.0,3112.0,2977.0,43.4,90.0,16.0,0.05,132139.0,143877.0,149518.0,425534.0,264592.0,578017.0,286479.0,842609.0,49200.0,681000.0,36600.0,576000.0,486000.0,72400.0,752000.0,24000.0,352000.0,222600.0,232000.0,347000.0,4530000.0,170700.0,2740000.0,174122.0, 6259.00 ,7575.0,160288.0,182440.0,11140.0,6466.0,164834.0,824651.0,348745.0,62073.0,413833.0,287925.0,34822.0,12322.0,240781.0,89.6,84.5,0.72,0.66,54.9,58.7, 5.20 , 3.40 , 16.50 
2009-12-20,522.0,1,,70.9357142857143,,,3486.5714285714284,1.0542857142857143,,,,,457025.0,,,nan,2.73,309507.0,0.64,1519.0,5.2,6.9,7.1,nan,nan,nan,nan,643.0,479.0,5100.0, 2.13 ,,,,,,,,96.4,0.88, (0.33),241.9,78.6,87.2,82.8,101.6,0.92,1.53,111.8,101.6,1172.0,313.0,2509.0,52.1,72.5,88.0,0.1,15212.0,33.8,22.38,129588.0,107107.0,17906.0,600500.0,682000.0,11580.0,1277.0,982.0,1235.0,1292.0,6278.0,10803.0,10011.0,437.0,0.04,353255.0,35219.0,318036.0,408576.0,33599.0,374977.0,351276.0,45738.0,271939.0,215.9,220.0,3.90%,3.90%,nan,345.0,290.0,106969.0,5862.0,1070.0,1287.0,47664.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2100411.0,3546.8,nan,nan,nan,2816.2,nan,nan,nan, 5725096.00 ,1394352.0,682115.0,854796.0,118703.0,72236.0,2217.0,27225.0,3151644.0,1352.7,nan,nan,nan,61.5,nan,nan,nan,nan,1026246.0,358793.0,431687.0,235766.0,1930185.0,686393.0,780192.0,463600.0,52.0,526810.0,204336.0,322474.0,23014.0,12383.0,49666.0,11962.0,971.0,12933.0,1386.0,693702.0,241499.0,342948.0,1278149.0,3112.0,2977.0,43.4,90.0,16.0,0.05,132139.0,143877.0,149518.0,425534.0,264592.0,578017.0,286479.0,842609.0,49200.0,681000.0,36600.0,576000.0,486000.0,72400.0,752000.0,24000.0,352000.0,222600.0,232000.0,347000.0,4530000.0,170700.0,2740000.0,174122.0, 6259.00 ,7575.0,160288.0,182440.0,11140.0,6466.0,164834.0,824651.0,348745.0,62073.0,413833.0,287925.0,34822.0,12322.0,240781.0,89.6,84.5,0.72,0.66,54.9,58.7, 5.20 , 3.40 , 16.50 
2009-12-27,543.0,1,,72.42142857142858,,,3266.5714285714284,1.0785714285714285,,,,,458692.85714285716,,,nan,2.73,307969.0,0.65,1547.0,4.7,6.9,7.0,nan,nan,nan,nan,661.0,468.0,4987.0, 2.37 ,,,,,,,,96.4,0.88, (0.33),241.9,78.6,87.2,82.8,101.6,0.92,1.53,111.8,101.6,1172.0,313.0,2509.0,52.1,72.5,88.0,0.1,15212.0,33.8,22.38,129588.0,107107.0,17906.0,600500.0,682000.0,11580.0,1277.0,982.0,1235.0,1292.0,6278.0,10803.0,10011.0,437.0,0.04,353255.0,35219.0,318036.0,408576.0,33599.0,374977.0,351276.0,45738.0,271939.0,215.9,220.0,3.90%,3.90%,nan,345.0,290.0,106969.0,5862.0,1070.0,1287.0,47664.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2100411.0,3546.8,nan,nan,nan,2816.2,nan,nan,nan, 5725096.00 ,1394352.0,682115.0,854796.0,118703.0,72236.0,2217.0,27225.0,3151644.0,1352.7,nan,nan,nan,61.5,nan,nan,nan,nan,1026246.0,358793.0,431687.0,235766.0,1930185.0,686393.0,780192.0,463600.0,52.0,526810.0,204336.0,322474.0,23014.0,12383.0,49666.0,11962.0,971.0,12933.0,1386.0,693702.0,241499.0,342948.0,1278149.0,3112.0,2977.0,43.4,90.0,16.0,0.05,132139.0,143877.0,149518.0,425534.0,264592.0,578017.0,286479.0,842609.0,49200.0,681000.0,36600.0,576000.0,486000.0,72400.0,752000.0,24000.0,352000.0,222600.0,232000.0,347000.0,4530000.0,170700.0,2740000.0,174122.0, 6259.00 ,7575.0,160288.0,182440.0,11140.0,6466.0,164834.0,824651.0,348745.0,62073.0,413833.0,287925.0,34822.0,12322.0,240781.0,89.6,84.5,0.72,0.66,54.9,58.7, 5.20 , 3.40 , 16.50 
2010-01-03,548.0,1,,73.74428571428572,,,3193.285714285714,1.097142857142857,,,,,462600.0,,,nan,2.8,306626.0,0.6,1445.0,5.8,6.9,6.9,nan,nan,nan,nan,678.0,460.0,4878.0, 1.84 ,,,,,,,,97.21,0.88, 0.22 ,223.0,79.1,87.3,82.5,101.7,0.9,1.46,114.0,103.2,1267.0,459.0,2773.0,55.1,74.4,89.3,0.1,14837.0,34.0,22.44,129790.0,106793.0,17717.0,556500.0,630800.0,11357.0,1251.0,972.0,1208.0,1266.0,6297.0,10893.0,10025.0,508.0,0.05,354736.0,35225.0,319511.0,321550.0,32618.0,288932.0,270535.0,43313.0,194604.0,216.7,220.1,1.60%,1.60%,12.20%,390.0,342.0,113375.0,6234.0,1043.0,1379.0,52535.0,1365783.0,159916.0,58262.0,83602.0,3899.0,33380.0,2874.0,5905.0,347838.0,349793.0,nan,nan,nan,759636.0,78774.0,58333.0,89691.0,35389.0,17547.0,13403.0,4516.0,297653.0,1119893.0,3596.1,nan,nan,nan,2866.1,nan,nan,nan, 6218551.00 ,1420024.0,776556.0,1049846.0,129000.0,71613.0,2636.0,27225.0,3476900.0,1606.2,nan,nan,nan,80.3,nan,nan,nan,nan,696546.0,240018.0,285083.0,171445.0,2058651.0,726228.0,851640.0,480783.0,71.0,560986.0,216586.0,344400.0,15898.0,11917.0,52144.0,9836.0,632.0,10468.0,1620.0,640706.0,169024.0,311075.0,1120805.0,3141.0,3018.0,42.5,89.0,15.0,0.05,134007.0,158322.0,127655.0,419984.0,263680.0,558433.0,268992.0,822114.0,39500.0,629000.0,38900.0,614000.0,510000.0,46300.0,689000.0,24000.0,345000.0,218200.0,231000.0,234000.0,4310000.0,164900.0,2750000.0,162697.0, 3792.00 ,7782.0,151123.0,163979.0,4762.0,4607.0,154610.0,832043.0,347775.0,65248.0,419020.0,295920.0,36508.0,12780.0,246632.0,91.9,85.7,0.71,0.67,58.4,61.5, 15.10 , 7.50 , 12.90 
2010-01-10,555.0,1,,80.2357142857143,,,3140.8571428571427,1.161428571428571,,,,,485460.71428571426,,,nan,2.88,310325.0,0.62,1468.0,6.0,7.4,7.7,nan,nan,nan,nan,687.0,474.0,4904.0, 1.80 ,,,,,,,,97.21,0.88, 0.22 ,223.0,79.1,87.3,82.5,101.7,0.9,1.46,114.0,103.2,1267.0,459.0,2773.0,55.1,74.4,89.3,0.1,14837.0,34.0,22.44,129790.0,106793.0,17717.0,556500.0,630800.0,11357.0,1251.0,972.0,1208.0,1266.0,6297.0,10893.0,10025.0,508.0,0.05,354736.0,35225.0,319511.0,321550.0,32618.0,288932.0,270535.0,43313.0,194604.0,216.7,220.1,1.60%,1.60%,12.20%,390.0,342.0,113375.0,6234.0,1043.0,1379.0,52535.0,1365783.0,159916.0,58262.0,83602.0,3899.0,33380.0,2874.0,5905.0,347838.0,349793.0,nan,nan,nan,759636.0,78774.0,58333.0,89691.0,35389.0,17547.0,13403.0,4516.0,297653.0,1119893.0,3596.1,nan,nan,nan,2866.1,nan,nan,nan, 6218551.00 ,1420024.0,776556.0,1049846.0,129000.0,71613.0,2636.0,27225.0,3476900.0,1606.2,nan,nan,nan,80.3,nan,nan,nan,nan,696546.0,240018.0,285083.0,171445.0,2058651.0,726228.0,851640.0,480783.0,71.0,560986.0,216586.0,344400.0,15898.0,11917.0,52144.0,9836.0,632.0,10468.0,1620.0,640706.0,169024.0,311075.0,1120805.0,3141.0,3018.0,42.5,89.0,15.0,0.05,134007.0,158322.0,127655.0,419984.0,263680.0,558433.0,268992.0,822114.0,39500.0,629000.0,38900.0,614000.0,510000.0,46300.0,689000.0,24000.0,345000.0,218200.0,231000.0,234000.0,4310000.0,164900.0,2750000.0,162697.0, 3792.00 ,7782.0,151123.0,163979.0,4762.0,4607.0,154610.0,832043.0,347775.0,65248.0,419020.0,295920.0,36508.0,12780.0,246632.0,91.9,85.7,0.71,0.67,58.4,61.5, 15.10 , 7.50 , 12.90 
2010-01-17,567.0,1,,81.56285714285715,,,3186.5714285714284,1.144285714285714,5.6585714285714275,,,,489571.4285714286,69.51857142857143,7493.0,nan,2.87,309854.0,0.64,1525.0,5.3,7.1,7.9,nan,nan,nan,nan,697.0,513.0,4822.0, 1.95 ,,,,,,,,97.21,0.88, 0.22 ,223.0,79.1,87.3,82.5,101.7,0.9,1.46,114.0,103.2,1267.0,459.0,2773.0,55.1,74.4,89.3,0.1,14837.0,34.0,22.44,129790.0,106793.0,17717.0,556500.0,630800.0,11357.0,1251.0,972.0,1208.0,1266.0,6297.0,10893.0,10025.0,508.0,0.05,354736.0,35225.0,319511.0,321550.0,32618.0,288932.0,270535.0,43313.0,194604.0,216.7,220.1,1.60%,1.60%,12.20%,390.0,342.0,113375.0,6234.0,1043.0,1379.0,52535.0,1365783.0,159916.0,58262.0,83602.0,3899.0,33380.0,2874.0,5905.0,347838.0,349793.0,nan,nan,nan,759636.0,78774.0,58333.0,89691.0,35389.0,17547.0,13403.0,4516.0,297653.0,1119893.0,3596.1,nan,nan,nan,2866.1,nan,nan,nan, 6218551.00 ,1420024.0,776556.0,1049846.0,129000.0,71613.0,2636.0,27225.0,3476900.0,1606.2,nan,nan,nan,80.3,nan,nan,nan,nan,696546.0,240018.0,285083.0,171445.0,2058651.0,726228.0,851640.0,480783.0,71.0,560986.0,216586.0,344400.0,15898.0,11917.0,52144.0,9836.0,632.0,10468.0,1620.0,640706.0,169024.0,311075.0,1120805.0,3141.0,3018.0,42.5,89.0,15.0,0.05,134007.0,158322.0,127655.0,419984.0,263680.0,558433.0,268992.0,822114.0,39500.0,629000.0,38900.0,614000.0,510000.0,46300.0,689000.0,24000.0,345000.0,218200.0,231000.0,234000.0,4310000.0,164900.0,2750000.0,162697.0, 3792.00 ,7782.0,151123.0,163979.0,4762.0,4607.0,154610.0,832043.0,347775.0,65248.0,419020.0,295920.0,36508.0,12780.0,246632.0,91.9,85.7,0.71,0.67,58.4,61.5, 15.10 , 7.50 , 12.90 
2010-01-24,572.0,1,,78.6114285714286,,,3224.1428571428573,1.1085714285714283,5.642857142857141,,,,488896.4285714286,69.77857142857144,7414.571428571428,nan,2.83,305966.0,0.65,1564.0,5.3,7.1,7.6,nan,nan,nan,nan,694.0,471.0,4870.0, 1.88 ,,,,,,,,97.21,0.88, 0.22 ,223.0,79.1,87.3,82.5,101.7,0.9,1.46,114.0,103.2,1267.0,459.0,2773.0,55.1,74.4,89.3,0.1,14837.0,34.0,22.44,129790.0,106793.0,17717.0,556500.0,630800.0,11357.0,1251.0,972.0,1208.0,1266.0,6297.0,10893.0,10025.0,508.0,0.05,354736.0,35225.0,319511.0,321550.0,32618.0,288932.0,270535.0,43313.0,194604.0,216.7,220.1,1.60%,1.60%,12.20%,390.0,342.0,113375.0,6234.0,1043.0,1379.0,52535.0,1365783.0,159916.0,58262.0,83602.0,3899.0,33380.0,2874.0,5905.0,347838.0,349793.0,nan,nan,nan,759636.0,78774.0,58333.0,89691.0,35389.0,17547.0,13403.0,4516.0,297653.0,1119893.0,3596.1,nan,nan,nan,2866.1,nan,nan,nan, 6218551.00 ,1420024.0,776556.0,1049846.0,129000.0,71613.0,2636.0,27225.0,3476900.0,1606.2,nan,nan,nan,80.3,nan,nan,nan,nan,696546.0,240018.0,285083.0,171445.0,2058651.0,726228.0,851640.0,480783.0,71.0,560986.0,216586.0,344400.0,15898.0,11917.0,52144.0,9836.0,632.0,10468.0,1620.0,640706.0,169024.0,311075.0,1120805.0,3141.0,3018.0,42.5,89.0,15.0,0.05,134007.0,158322.0,127655.0,419984.0,263680.0,558433.0,268992.0,822114.0,39500.0,629000.0,38900.0,614000.0,510000.0,46300.0,689000.0,24000.0,345000.0,218200.0,231000.0,234000.0,4310000.0,164900.0,2750000.0,162697.0, 3792.00 ,7782.0,151123.0,163979.0,4762.0,4607.0,154610.0,832043.0,347775.0,65248.0,419020.0,295920.0,36508.0,12780.0,246632.0,91.9,85.7,0.71,0.67,58.4,61.5, 15.10 , 7.50 , 12.90 
2010-01-31,590.0,1,,75.09142857142858,,,3104.4285714285716,1.0314285714285711,5.428571428571428,,,,493800.0,70.5857142857143,7016.428571428572,nan,2.78,308283.0,0.66,1587.0,5.1,8.4,7.3,nan,nan,nan,nan,715.0,493.0,4808.0, 2.25 ,,,,,,,,97.21,0.88, 0.22 ,223.0,79.1,87.3,82.5,101.7,0.9,1.46,114.0,103.2,1267.0,459.0,2773.0,55.1,74.4,89.3,0.1,14837.0,34.0,22.44,129790.0,106793.0,17717.0,556500.0,630800.0,11357.0,1251.0,972.0,1208.0,1266.0,6297.0,10893.0,10025.0,508.0,0.05,354736.0,35225.0,319511.0,321550.0,32618.0,288932.0,270535.0,43313.0,194604.0,216.7,220.1,1.60%,1.60%,12.20%,390.0,342.0,113375.0,6234.0,1043.0,1379.0,52535.0,1365783.0,159916.0,58262.0,83602.0,3899.0,33380.0,2874.0,5905.0,347838.0,349793.0,nan,nan,nan,759636.0,78774.0,58333.0,89691.0,35389.0,17547.0,13403.0,4516.0,297653.0,1119893.0,3596.1,nan,nan,nan,2866.1,nan,nan,nan, 6218551.00 ,1420024.0,776556.0,1049846.0,129000.0,71613.0,2636.0,27225.0,3476900.0,1606.2,nan,nan,nan,80.3,nan,nan,nan,nan,696546.0,240018.0,285083.0,171445.0,2058651.0,726228.0,851640.0,480783.0,71.0,560986.0,216586.0,344400.0,15898.0,11917.0,52144.0,9836.0,632.0,10468.0,1620.0,640706.0,169024.0,311075.0,1120805.0,3141.0,3018.0,42.5,89.0,15.0,0.05,134007.0,158322.0,127655.0,419984.0,263680.0,558433.0,268992.0,822114.0,39500.0,629000.0,38900.0,614000.0,510000.0,46300.0,689000.0,24000.0,345000.0,218200.0,231000.0,234000.0,4310000.0,164900.0,2750000.0,162697.0, 3792.00 ,7782.0,151123.0,163979.0,4762.0,4607.0,154610.0,832043.0,347775.0,65248.0,419020.0,295920.0,36508.0,12780.0,246632.0,91.9,85.7,0.71,0.67,58.4,61.5, 15.10 , 7.50 , 12.90 
2010-02-07,592.0,1,,74.56857142857143,,,2760.0,0.9571428571428567,5.395714285714286,,,,498150.0,71.36428571428574,6545.428571428572,nan,2.77,310577.0,0.67,1595.0,6.0,7.4,7.8,nan,nan,nan,nan,726.0,465.0,4846.0, 2.58 ,,,,,,,,96.75,0.82, (0.36),212.8,79.1,87.3,82.6,101.6,0.93,1.55,113.8,105.3,1350.0,564.0,2982.0,55.6,73.6,88.0,0.1,14871.0,33.9,22.48,129698.0,106772.0,17667.0,545800.0,616900.0,11340.0,1246.0,974.0,1200.0,1261.0,6283.0,10922.0,10059.0,504.0,0.05,355458.0,35560.0,319898.0,317961.0,30653.0,287308.0,264903.0,40343.0,193907.0,216.7,220.6,1.60%,1.60%,12.20%,400.0,346.0,108235.0,6243.0,1050.0,1300.0,50357.0,1280527.0,174267.0,50677.0,82555.0,3585.0,24058.0,3272.0,6118.0,344532.0,335126.0,nan,nan,nan,696125.0,81280.0,58727.0,74192.0,37152.0,21182.0,14149.0,4990.0,291672.0,1997996.0,3733.5,nan,nan,nan,3390.0,nan,nan,nan, 5942394.00 ,1359851.0,741039.0,1043318.0,135430.0,80319.0,2241.0,25375.0,3387573.0,1679.9,nan,nan,nan,84.0,nan,nan,nan,nan,778433.0,272644.0,327728.0,178061.0,2174310.0,768136.0,921505.0,484669.0,67.0,589699.0,239363.0,350336.0,14905.0,10816.0,53378.0,9115.0,582.0,9697.0,2033.0,647887.0,154621.0,258802.0,1061310.0,2785.0,2812.0,44.8,92.0,17.0,0.05,138448.0,146481.0,151302.0,436231.0,263649.0,551236.0,267569.0,814885.0,44100.0,650000.0,40700.0,604000.0,526000.0,45400.0,670000.0,27000.0,336000.0,221900.0,229000.0,258000.0,4290000.0,164600.0,3000000.0,168401.0, 8553.00 ,4755.0,155093.0,167228.0,5834.0,5257.0,156137.0,837694.0,350494.0,64746.0,422454.0,300358.0,37524.0,12965.0,249869.0,92.2,85.5,0.71,0.67,56.5,62.6, 21.50 , (2.90), 13.90 
